Type,Name,Book,Page,Type,Date,StreetNum,Neighborhood,Town,Address,GoogleMapsURL,GooglePlaceID,Latitude,Longitude
GT,ZILLOW HOME LOANS LLC,68010,310,MORTGAGE,7/28/2022,174 MAGNOLIA ST UNIT 174B,DORCHESTER,BOSTON,"174 Magnolia Street UNIT 174B, Boston, MA 02125-3976, USA",https://www.google.com/maps/search/?api=1&query=42.3128121%2C-71.0725462&zoom=18&query_place_id=EjkxNzQgTWFnbm9saWEgU3RyZWV0IFVOSVQgMTc0QiwgQm9zdG9uLCBNQSAwMjEyNS0zOTc2LCBVU0EiIBoeChYKFAoSCeeRku61e-OJEUotZm2al2V1EgQxNzRi,EjkxNzQgTWFnbm9saWEgU3RyZWV0IFVOSVQgMTc0QiwgQm9zdG9uLCBNQSAwMjEyNS0zOTc2LCBVU0EiIBoeChYKFAoSCeeRku61e-OJEUotZm2al2V1EgQxNzRi,42.3128121,-71.0725462
GR,ZILLOW HOME LOANS LLC,67757,113,MORTGAGE,6/6/2022,360 PARK ST,WEST ROXBURY,BOSTON,"360 Park Street, Boston, MA 02124-1302, USA",https://www.google.com/maps/search/?api=1&query=42.2962708%2C-71.068614&zoom=18&query_place_id=EiszNjAgUGFyayBTdHJlZXQsIEJvc3RvbiwgTUEgMDIxMjQtMTMwMiwgVVNBIjESLwoUChIJB0UO7pV744kRYT8rsnsESjsQ6AIqFAoSCTdWa7K9e-OJEQDYeIa99595,EiszNjAgUGFyayBTdHJlZXQsIEJvc3RvbiwgTUEgMDIxMjQtMTMwMiwgVVNBIjESLwoUChIJB0UO7pV744kRYT8rsnsESjsQ6AIqFAoSCTdWa7K9e-OJEQDYeIa99595,42.2962708,-71.068614
GT,ZILLOW HOME LOANS LLC,67515,20,MORTGAGE,4/21/2022,71 OXFORD ST,,REVERE,"71 Oxford Street, Revere, MA 02151-3318, USA",https://www.google.com/maps/search/?api=1&query=42.4147311%2C-71.0281126&zoom=18&query_place_id=ChIJ1TsObY1x44kR3MrM5LcEomw,ChIJ1TsObY1x44kR3MrM5LcEomw,42.4147311,-71.0281126
GR,REDFINNOW BORROWER LLC,67333,106,DEED,3/17/2022,181 SYCAMORE ST,ROSLINDALE,BOSTON,"181 Sycamore Street, Boston, MA 02131-2634, USA",https://www.google.com/maps/search/?api=1&query=42.2865813%2C-71.1224544&zoom=18&query_place_id=ChIJTxwkuMp-44kRBL3PrTkigqI,ChIJTxwkuMp-44kRBL3PrTkigqI,42.2865813,-71.1224544
GT,ZILLOW HOME LOANS LLC,67315,138,MORTGAGE,3/14/2022,134 LAKE ST,,BOSTON,"134 Lake Street, Boston, MA 02135-3824, USA",https://www.google.com/maps/search/?api=1&query=42.3452617%2C-71.1634617&zoom=18&query_place_id=ChIJq2i6kkN444kR76qfpDY9Buo,ChIJq2i6kkN444kR76qfpDY9Buo,42.3452617,-71.1634617
GT,REDFIN MORTGAGE LLC,67259,30,MORTGAGE,3/2/2022,4044 WASHINGTON ST UNIT 5,,BOSTON,"4044 Washington Street UNIT 5, Boston, MA 02131-1748, USA",https://www.google.com/maps/search/?api=1&query=42.2913443%2C-71.1225973&zoom=18&query_place_id=ChIJ95ylwjV544kRfT2kCnRB0j4,ChIJ95ylwjV544kRfT2kCnRB0j4,42.2913443,-71.1225973
GT,ZILLOW HOME LOANS LLC,67012,132,MORTGAGE,1/12/2022,60 ARLINGTON ST,HYDE PARK,BOSTON,"60 Arlington Street, Boston, MA 02116-3901, USA",https://www.google.com/maps/search/?api=1&query=42.3508072%2C-71.0699976&zoom=18&query_place_id=Ei82MCBBcmxpbmd0b24gU3RyZWV0LCBCb3N0b24sIE1BIDAyMTE2LTM5MDEsIFVTQSIwEi4KFAoSCZkg_F10euOJEXLKPw7rtl9wEDwqFAoSCf2mB_h0euOJEbhu9AgBgxn1,Ei82MCBBcmxpbmd0b24gU3RyZWV0LCBCb3N0b24sIE1BIDAyMTE2LTM5MDEsIFVTQSIwEi4KFAoSCZkg_F10euOJEXLKPw7rtl9wEDwqFAoSCf2mB_h0euOJEbhu9AgBgxn1,42.3508072,-71.0699976
GT,REDFIN MORTGAGE LLC,66882,172,MORTGAGE,12/17/2021,135 W THIRD ST UNIT 135,SOUTH BOSTON,BOSTON,"135 West 3rd Street UNIT 135, Boston, MA 02127-1120, USA",https://www.google.com/maps/search/?api=1&query=42.3406779%2C-71.0518453&zoom=18&query_place_id=ChIJE3v9wmJ644kR8On6y_I0jTc,ChIJE3v9wmJ644kR8On6y_I0jTc,42.3406779,-71.0518453
GT,ZILLOW HOME LOANS LLC,66848,122,MORTGAGE,12/14/2021,1 ROLLINS ST UNIT C-103,,BOSTON,"1 Rollins Street C-103, Boston, MA 02118-4421, USA",https://www.google.com/maps/search/?api=1&query=42.3416976%2C-71.0683135&zoom=18&query_place_id=ChIJz3jRL2x644kRR0bV78elaG0,ChIJz3jRL2x644kRR0bV78elaG0,42.3416976,-71.0683135
GT,ZILLOW HOME LOANS LLC,66661,272,MORTGAGE,11/12/2021,443 POPLAR ST,WEST ROXBURY,BOSTON,"443 Poplar Street, Boston, MA 02131-4670, USA",https://www.google.com/maps/search/?api=1&query=42.2752977%2C-71.1271751&zoom=18&query_place_id=ChIJNaPmJsR-44kR4c0KepFuwR4,ChIJNaPmJsR-44kR4c0KepFuwR4,42.2752977,-71.1271751
GT,REDFIN MORTGAGE LLC,66616,314,MORTGAGE,11/4/2021,22 HEWLETT ST UNIT 2,ROSLINDALE,BOSTON,"22 Hewlett Street UNIT 2, Boston, MA 02131-1564, USA",https://www.google.com/maps/search/?api=1&query=42.2895443%2C-71.1349567&zoom=18&query_place_id=ChIJIfK7My1544kRNd8VkvGwWBc,ChIJIfK7My1544kRNd8VkvGwWBc,42.2895443,-71.1349567
GT,REDFINNOW BORROWER LLC,66481,212,DEED,10/15/2021,181 SYCAMORE ST,ROSLINDALE,BOSTON,"181 Sycamore Street, Boston, MA 02131-2634, USA",https://www.google.com/maps/search/?api=1&query=42.2865813%2C-71.1224544&zoom=18&query_place_id=ChIJTxwkuMp-44kRBL3PrTkigqI,ChIJTxwkuMp-44kRBL3PrTkigqI,42.2865813,-71.1224544
GT,ZILLOW HOME LOANS LLC,66301,260,MORTGAGE,9/16/2021,105 FRANKLIN AVE UNIT 97,,REVERE,"105 Franklin Avenue UNIT 97, Revere, MA 02151-3961, USA",https://www.google.com/maps/search/?api=1&query=42.4055769%2C-70.998135&zoom=18&query_place_id=ChIJN1yoXBxu44kRdGNbpLrKxxw,ChIJN1yoXBxu44kRdGNbpLrKxxw,42.4055769,-70.998135
GT,REDFIN MORTGAGE LLC,66233,1,MORTGAGE,9/3/2021,216 HAVRE ST UNIT 1,,BOSTON,"216 Havre Street UNIT 1, Boston, MA 02128-3817, USA",https://www.google.com/maps/search/?api=1&query=42.374939%2C-71.036281&zoom=18&query_place_id=ChIJHZc7H0Vw44kR8x0FyOmAWh0,ChIJHZc7H0Vw44kR8x0FyOmAWh0,42.374939,-71.036281
GT,REDFIN MORTGAGE LLC,66165,287,MORTGAGE,8/26/2021,57 BROADLAWN PK UNIT 2A,,BOSTON,"57 Broadlawn Park #2a, Boston, MA 02132, USA",https://www.google.com/maps/search/?api=1&query=42.3026311%2C-71.1653802&zoom=18&query_place_id=ChIJdctC9Mh444kRRfUYgYufTmE,ChIJdctC9Mh444kRRfUYgYufTmE,42.3026311,-71.1653802
GT,ZILLOW HOME LOANS LLC,65951,258,MORTGAGE,7/26/2021,584 E THIRD ST UNIT 2,,BOSTON,"584 East 3rd Street UNIT 2, Boston, MA 02127-1539, USA",https://www.google.com/maps/search/?api=1&query=42.336729%2C-71.036581&zoom=18&query_place_id=ChIJt67VypF644kRP8-TFsl3yqQ,ChIJt67VypF644kRP8-TFsl3yqQ,42.336729,-71.036581
GT,REDFIN MORTGAGE LLC,65826,254,MORTGAGE,7/6/2021,37 GATES ST UNIT 2,SOUTH BOSTON,BOSTON,"37 Gates Street UNIT 2, Boston, MA 02127-3798, USA",https://www.google.com/maps/search/?api=1&query=42.332633%2C-71.0484598&zoom=18&query_place_id=ChIJzZIdv4p644kRMHEDxlaSjo0,ChIJzZIdv4p644kRMHEDxlaSjo0,42.332633,-71.0484598
GT,ZILLOW HOME LOANS LLC ITS SUCCESSORS AND,65705,239,MORTGAGE,6/18/2021,63 COREY RD UNIT 6,BRIGHTON,BOSTON,"63 Corey Road UNIT 6, Boston, MA 02135-8133, USA",https://www.google.com/maps/search/?api=1&query=42.34018%2C-71.1421317&zoom=18&query_place_id=ChIJpzrM_rJ544kRHV-mFAFG9Fs,ChIJpzrM_rJ544kRHV-mFAFG9Fs,42.34018,-71.1421317
GT,ZILLOW HOME LOANS LLC,65702,328,MORTGAGE,6/17/2021,378 RIVERWAY UNIT 6,,BOSTON,"378 Riverway UNIT 6, Boston, MA 02115-6434, USA",https://www.google.com/maps/search/?api=1&query=42.3326404%2C-71.1119135&zoom=18&query_place_id=ChIJQTrJhpp544kRnQTqmYYvESg,ChIJQTrJhpp544kRnQTqmYYvESg,42.3326404,-71.1119135
GT,REDFIN MORTGAGE LLC,65685,1,MORTGAGE,6/15/2021,385 CENTRE ST UNIT 3,DORCHESTER,BOSTON,"385 Centre Street UNIT 3, Boston, MA 02130-1241, USA",https://www.google.com/maps/search/?api=1&query=42.3222238%2C-71.1095055&zoom=18&query_place_id=EjQzODUgQ2VudHJlIFN0cmVldCBVTklUIDMsIEJvc3RvbiwgTUEgMDIxMzAtMTI0MSwgVVNBIh0aGwoWChQKEgmVr7j2d3njiRFvB9xrkjLgwBIBMw,EjQzODUgQ2VudHJlIFN0cmVldCBVTklUIDMsIEJvc3RvbiwgTUEgMDIxMzAtMTI0MSwgVVNBIh0aGwoWChQKEgmVr7j2d3njiRFvB9xrkjLgwBIBMw,42.3222238,-71.1095055
GT,ZILLOW HOME LOANS LLC,65616,222,MORTGAGE,6/4/2021,47 RIDGE ST,ROSLINDALE,BOSTON,"47 Ridge Street, Boston, MA 02131-2630, USA",https://www.google.com/maps/search/?api=1&query=42.286325%2C-71.1222007&zoom=18&query_place_id=ChIJ92Dgu8p-44kR9km13fo25a4,ChIJ92Dgu8p-44kR9km13fo25a4,42.286325,-71.1222007
GT,ZILLOW HOME LOANS LLC,65569,104,MORTGAGE,5/28/2021,41 SCHOOL ST UNIT 2,DORCHESTER,BOSTON,"41 School Street UNIT 2, Boston, MA 02124-1175, USA",https://www.google.com/maps/search/?api=1&query=42.2970835%2C-71.0754806&zoom=18&query_place_id=ChIJGUNBk-p744kRGcW99YLMBaw,ChIJGUNBk-p744kRGcW99YLMBaw,42.2970835,-71.0754806
GT,ZILLOW HOME LOANS LLC,65539,186,MORTGAGE,5/25/2021,443 POPLAR ST,ROSLINDALE,BOSTON,"443 Poplar Street, Boston, MA 02131-4670, USA",https://www.google.com/maps/search/?api=1&query=42.2752977%2C-71.1271751&zoom=18&query_place_id=ChIJNaPmJsR-44kR4c0KepFuwR4,ChIJNaPmJsR-44kR4c0KepFuwR4,42.2752977,-71.1271751
GT,ZILLOW HOME LOANS LLC,65296,221,MORTGAGE,4/23/2021,5 MT VERNON ST UNIT 1,DORCHESTER,BOSTON,"5 Mount Vernon Street UNIT 1, Boston, MA 02125-1789, USA",https://www.google.com/maps/search/?api=1&query=42.3224376%2C-71.0598123&zoom=18&query_place_id=ChIJI6d_RlB644kRV-gyK-nhoYc,ChIJI6d_RlB644kRV-gyK-nhoYc,42.3224376,-71.0598123
GT,ZILLOW HOME LOANS LLC,65289,137,MORTGAGE,4/22/2021,48 SUDAN ST UNIT B,,BOSTON,"48 Sudan Street B, Boston, MA 02125-2079, USA",https://www.google.com/maps/search/?api=1&query=42.3166383%2C-71.0542102&zoom=18&query_place_id=ChIJPf2jQlR644kR4GHP51ywkuc,ChIJPf2jQlR644kR4GHP51ywkuc,42.3166383,-71.0542102
GT,ZILLOW HOME LOANS LLC,65288,270,MORTGAGE,4/22/2021,134 LAKE ST,BRIGHTON,BOSTON,"134 Lake Street, Boston, MA 02135-3824, USA",https://www.google.com/maps/search/?api=1&query=42.3452617%2C-71.1634617&zoom=18&query_place_id=ChIJq2i6kkN444kR76qfpDY9Buo,ChIJq2i6kkN444kR76qfpDY9Buo,42.3452617,-71.1634617
GT,ZILLOW HOME LOANS LLC,65248,92,MORTGAGE,4/15/2021,59 DUNSTER RD UNIT 2,JAMAICA PLAIN,BOSTON,"59 Dunster Road UNIT 2, Boston, MA 02130-2703, USA",https://www.google.com/maps/search/?api=1&query=42.3108966%2C-71.1183104&zoom=18&query_place_id=ChIJt0aCiGx544kRZTH60M9ZjtU,ChIJt0aCiGx544kRZTH60M9ZjtU,42.3108966,-71.1183104
GT,ZILLOW HOME LOANS LLC,65118,98,MORTGAGE,3/31/2021,26 SENATOR BOLLING CIR,DORCHESTER,BOSTON,"26 Senator Bolling Circle, Boston, MA 02124-2343, USA",https://www.google.com/maps/search/?api=1&query=42.2910557%2C-71.0927313&zoom=18&query_place_id=ChIJhdQhuPx744kRchSryUrLtzY,ChIJhdQhuPx744kRchSryUrLtzY,42.2910557,-71.0927313
GT,ZILLOW HOME LOANS LLC,64989,79,MORTGAGE,3/15/2021,18 SHAFTER ST,DORCHESTER,BOSTON,"18 Shafter Street, Boston, MA 02121-2132, USA",https://www.google.com/maps/search/?api=1&query=42.2991295%2C-71.0771229&zoom=18&query_place_id=ChIJX3zaz8F744kRo7fjJCe6DXQ,ChIJX3zaz8F744kRo7fjJCe6DXQ,42.2991295,-71.0771229
GT,REDFIN MORTGAGE LLC,64969,4,MORTGAGE,3/11/2021,687 E SECOND ST UNIT 5,,BOSTON,"687 East 2nd Street UNIT 5, Boston, MA 02127-1644, USA",https://www.google.com/maps/search/?api=1&query=42.3371501%2C-71.0357993&zoom=18&query_place_id=ChIJN5uTT5B644kRLha1DsVWZYs,ChIJN5uTT5B644kRLha1DsVWZYs,42.3371501,-71.0357993
GT,ZILLOW HOME LOANS LLC,64835,281,MORTGAGE,2/22/2021,47 METROPOLITAN AVE,ROSLINDALE,CHELSEA,"47 Metropolitan Avenue, Ridgewood, NY 11385, USA",https://www.google.com/maps/search/?api=1&query=40.7136209%2C-73.9189518&zoom=18&query_place_id=ChIJZTqSfKRewokRHvIVmvzQnrc,ChIJZTqSfKRewokRHvIVmvzQnrc,40.7136209,-73.9189518
GT,ZILLOW HOME LOANS LLC,64712,313,MORTGAGE,2/3/2021,97 CHILD ST UNIT 1,HYDE PARK,BOSTON,"97 Child Street UNIT 1, Boston, MA 02136-1756, USA",https://www.google.com/maps/search/?api=1&query=42.2557289%2C-71.1300156&zoom=18&query_place_id=ChIJB4H81_B-44kRC4fHDc4GEcY,ChIJB4H81_B-44kRC4fHDc4GEcY,42.2557289,-71.1300156
GT,ZILLOW HOME LOANS LLC,64712,276,MORTGAGE,2/3/2021,505 TREMONT ST UNIT 304,,BOSTON,"505 Tremont Street UNIT 304, Boston, MA 02116-6348, USA",https://www.google.com/maps/search/?api=1&query=42.3449407%2C-71.0707026&zoom=18&query_place_id=ChIJK_fYf21644kRPW8rR_BGSJY,ChIJK_fYf21644kRPW8rR_BGSJY,42.3449407,-71.0707026
GT,REDFIN MORTGAGE LLC,64686,328,MORTGAGE,1/29/2021,204 W BROOKLINE ST UNIT 4,,BOSTON,"204 West Brookline Street UNIT 4, Boston, MA 02118-4468, USA",https://www.google.com/maps/search/?api=1&query=42.343425%2C-71.0769&zoom=18&query_place_id=ChIJe6R1rBN644kRsAoR5y8eQo0,ChIJe6R1rBN644kRsAoR5y8eQo0,42.343425,-71.0769
GT,REDFIN MORTGAGE LLC,64659,124,MORTGAGE,1/27/2021,31 PROSPECT AVE UNIT B,,REVERE,"31 Prospect Avenue B, Revere, MA 02151-3814, USA",https://www.google.com/maps/search/?api=1&query=42.407235%2C-71.0143431&zoom=18&query_place_id=ChIJ6euwWe9x44kRZh9pn_LpQxI,ChIJ6euwWe9x44kRZh9pn_LpQxI,42.407235,-71.0143431
GT,ZILLOW HOME LOANS LLC,64659,29,MORTGAGE,1/27/2021,126 BRADSTREET AVE,,REVERE,"126 Bradstreet Avenue, Revere, MA 02151-4112, USA",https://www.google.com/maps/search/?api=1&query=42.3963523%2C-70.9877894&zoom=18&query_place_id=ChIJGZlTcT1u44kR7Lmdhdo-izA,ChIJGZlTcT1u44kR7Lmdhdo-izA,42.3963523,-70.9877894
GT,REDFIN MORTGAGE INC,64630,221,MORTGAGE,1/22/2021,398 BREMEN ST UNIT 4,,BOSTON,"398 Bremen Street UNIT 4, Boston, MA 02128-5095, USA",https://www.google.com/maps/search/?api=1&query=42.3785598%2C-71.0279286&zoom=18&query_place_id=EjQzOTggQnJlbWVuIFN0cmVldCBVTklUIDQsIEJvc3RvbiwgTUEgMDIxMjgtNTA5NSwgVVNBIh0aGwoWChQKEglLrEy3SXDjiRHQ2CAFFsqGQxIBNA,EjQzOTggQnJlbWVuIFN0cmVldCBVTklUIDQsIEJvc3RvbiwgTUEgMDIxMjgtNTA5NSwgVVNBIh0aGwoWChQKEglLrEy3SXDjiRHQ2CAFFsqGQxIBNA,42.3785598,-71.0279286
GT,REDFIN MORTGAGE LLC,64600,1,MORTGAGE,1/20/2021,8 GREENLEY PL,JAMAICA PLAIN,BOSTON,"8 Greenley Place, Boston, MA 02130-2610, USA",https://www.google.com/maps/search/?api=1&query=42.3104035%2C-71.1051533&zoom=18&query_place_id=ChIJ36uvWGR544kR4YUhakSpLg4,ChIJ36uvWGR544kR4YUhakSpLg4,42.3104035,-71.1051533
GT,ZILLOW HOME LOANS LLC,64576,133,MORTGAGE,1/15/2021,230 SARATOGA ST UNIT 2,,BOSTON,"230 Saratoga Street UNIT 2, Boston, MA 02128-1616, USA",https://www.google.com/maps/search/?api=1&query=42.3779893%2C-71.0332215&zoom=18&query_place_id=ChIJ0QSaPk9w44kR_1CLnvpyFmo,ChIJ0QSaPk9w44kR_1CLnvpyFmo,42.3779893,-71.0332215
GT,ZILLOW HOME LOANS INC,64533,36,MORTGAGE,1/8/2021,4 PERHAM ST,WEST ROXBURY,BOSTON,"4 Perham Street, Boston, MA 02132-3253, USA",https://www.google.com/maps/search/?api=1&query=42.2803791%2C-71.16148&zoom=18&query_place_id=ChIJ9wAV7Dt_44kRThUCYY--8nY,ChIJ9wAV7Dt_44kRThUCYY--8nY,42.2803791,-71.16148
GT,ZILLOW HOME LOANS LLC,64518,158,MORTGAGE,1/6/2021,343 COMMERCIAL ST UNIT 403,,BOSTON,"343 Commercial Street UNIT 403, Boston, MA 02109-1277, USA",https://www.google.com/maps/search/?api=1&query=42.3652311%2C-71.0497938&zoom=18&query_place_id=ChIJdfd6AIpw44kRRh4cw2EbH40,ChIJdfd6AIpw44kRRh4cw2EbH40,42.3652311,-71.0497938
GT,ZILLOW HOME LOANS LLC,64468,62,MORTGAGE,12/29/2020,381 HYDE PARK AVE UNIT 1,ROSLINDALE,BOSTON,"381 Hyde Park Avenue UNIT 1, Boston, MA 02131-2117, USA",https://www.google.com/maps/search/?api=1&query=42.287797%2C-71.1186649&zoom=18&query_place_id=ChIJLVQJ50p544kRoFn_rzaU998,ChIJLVQJ50p544kRoFn_rzaU998,42.287797,-71.1186649
GT,ZILLOW HOME LOANS LLC,64337,334,MORTGAGE,12/9/2020,2 FITZ TERR,,CHELSEA,"2 Fitz Terrace, Chelsea, MA 02150-2515, USA",https://www.google.com/maps/search/?api=1&query=42.3976405%2C-71.0287208&zoom=18&query_place_id=ChIJXVTu_Lhx44kRWW3z44IibTM,ChIJXVTu_Lhx44kRWW3z44IibTM,42.3976405,-71.0287208
GT,REDFIN MORTGAGE LLC,64306,75,MORTGAGE,12/3/2020,244 BEACON ST UNIT 2B,,BOSTON,"244 Beacon Street #2b, Boston, MA 02116-1217, USA",https://www.google.com/maps/search/?api=1&query=42.3537597%2C-71.0797119&zoom=18&query_place_id=ChIJ0y2ogQl644kRWUQmwkhw6hE,ChIJ0y2ogQl644kRWUQmwkhw6hE,42.3537597,-71.0797119
GT,ZILLOW HOME LOANS LLC,64270,1,MORTGAGE,11/30/2020,26 DARTMOUTH ST UNIT 1,,BOSTON,"26 Dartmouth Street UNIT 1, Boston, MA 02116-5967, USA",https://www.google.com/maps/search/?api=1&query=42.3436358%2C-71.0744241&zoom=18&query_place_id=ChIJR-1Z2hJ644kR8ZjfzNi01nI,ChIJR-1Z2hJ644kR8ZjfzNi01nI,42.3436358,-71.0744241
GT,ZILLOW HOME LOANS LLC,63970,199,MORTGAGE,10/16/2020,883 HARRISON AVE UNIT 4,,BOSTON,"883 Harrison Avenue UNIT 4, Boston, MA 02118-4003, USA",https://www.google.com/maps/search/?api=1&query=42.3341934%2C-71.0764527&zoom=18&query_place_id=ChIJqVnYqj9644kRKg9f_rESmZM,ChIJqVnYqj9644kRKg9f_rESmZM,42.3341934,-71.0764527
GT,REDFIN MORTGAGE LLC,63705,51,MORTGAGE,9/3/2020,33 BILLINGS ST,WEST ROXBURY,BOSTON,"33 Billings Street, Boston, MA 02132-5403, USA",https://www.google.com/maps/search/?api=1&query=42.2713677%2C-71.1707171&zoom=18&query_place_id=ChIJPYuZnGx_44kR40lRfPfz4pQ,ChIJPYuZnGx_44kR40lRfPfz4pQ,42.2713677,-71.1707171
GT,REDFIN MORTGAGE LLC,63651,149,MORTGAGE,8/28/2020,155 O ST UNIT 3,SOUTH BOSTON,BOSTON,"155 O Street UNIT 3, Boston, MA 02127-6550, USA",https://www.google.com/maps/search/?api=1&query=42.3328315%2C-71.0293763&zoom=18&query_place_id=ChIJEyjKLpR644kRpLZetY_E05Y,ChIJEyjKLpR644kRpLZetY_E05Y,42.3328315,-71.0293763
GT,REDFIN MORTGAGE LLC,63627,49,MORTGAGE,8/25/2020,15 HOWARD AVE UNIT 1,,BOSTON,"15 Howard Avenue Unit 1, Boston, MA 02125-4825, USA",https://www.google.com/maps/search/?api=1&query=42.319729%2C-71.072378&zoom=18&query_place_id=ChIJ5Ve6aEp644kRkEXT5VaRVRw,ChIJ5Ve6aEp644kRkEXT5VaRVRw,42.319729,-71.072378
GT,REDFIN MORTGAGE LLC,63415,312,MORTGAGE,7/23/2020,121 PORTLAND ST UNIT 404,,BOSTON,"121 Portland Street UNIT 404, Boston, MA 02114-2041, USA",https://www.google.com/maps/search/?api=1&query=42.3636093%2C-71.0605392&zoom=18&query_place_id=ChIJzYdhwY9w44kRmauubEjvCVw,ChIJzYdhwY9w44kRmauubEjvCVw,42.3636093,-71.0605392
